match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,body_part,shot_type,goal
3835336,Ingrid Syrstad Engen,7.749193506423745,25.276245083353825,4,1,1.2392708068474072,Right Foot,Open Play,0
3835336,Celin Bizet Ildhusøy,17.112568480505782,19.42011294218188,2,1,2.783777488204888,Right Foot,Open Play,0
3835336,Lisa Makas,20.248456731316587,12.590382945535156,1,1,3.5569706773359613,Left Foot,Open Play,0
3835336,Celin Bizet Ildhusøy,19.99024762227822,14.610780526867483,1,1,3.682264895748947,Right Foot,Open Play,0
3835336,Ada Stolsmo Hegerberg,8.184130986244053,46.43510755863397,3,1,0.2725801043666386,Head,Open Play,0
3835336,Ada Stolsmo Hegerberg,8.560373823613078,43.5227858085068,0,1,1.4047749613331764,Left Foot,Open Play,0
3835336,Celin Bizet Ildhusøy,13.946325680981356,30.034408128081143,5,1,1.5048092500734986,Right Foot,Open Play,0
3835334,Karólína Lea Vilhjálmsdóttir,13.101526628603242,33.9525990069668,2,1,1.7218872121548379,Right Foot,Open Play,1
3835334,Glódís Perla Viggósdóttir,13.124404748406684,33.2392303732445,1,1,0.688891200801576,Right Foot,Open Play,0
3835334,Dagný Brynjarsdóttir,9.11975876873944,47.30336103761767,2,1,2.165997743422138,Head,Open Play,0
3835334,Sara Björk Gunnarsdóttir,13.152946437965907,25.116704852838176,1,1,0.8405018927000063,Right Foot,Open Play,0
3835334,Martina Piemonte,9.178235124467012,46.53579957824179,0,1,2.0125705363898017,Head,Open Play,0
3835334,Arianna Caruso,13.227622613304325,25.78565370572699,0,1,2.480760007067347,Right Foot,Open Play,0
3835334,Valentina Bergamaschi,29.504236983863862,12.612555769546585,1,1,1.6971654907207538,Right Foot,Open Play,0
3835334,Martina Piemonte,24.915858403835895,12.528807709151522,1,0,3.6677757618692675,Right Foot,Open Play,0
3835334,Arianna Caruso,8.300602387778854,45.37658655507255,3,1,2.5312253781901743,Head,Open Play,0
